title,release_year,runtime_minutes,main_genre,maturity_rating,imdb_score,content_format,content_type,imdb_votes
Magnus,2016,78,Sports Documentary,Not Rated,7.1,MOVIE,Cinema,2800
Death Wish,2018,107,Action,R,6.3,MOVIE,Cinema,79000
Aferim!,2016,108,Adventure,Not Rated,7.6,MOVIE,Cinema,8100
Baywatch,2017,116,Action,R,5.5,MOVIE,Cinema,210000
Don't Let Go,2019,103,Whodunnit,R,6.4,MOVIE,Cinema,15000
See How They Run,2022,98,Bumbling Detective,PG-13,6.5,MOVIE,Cinema,69000
Ryan's World the Movie: Titan Universe Adventure,2024,80,Anime,Not Rated,1.8,MOVIE,Cinema,659
Home Again,2017,97,Romantic Comedy,PG-13,5.8,MOVIE,Cinema,36000
Knights of the Zodiac,2023,112,Martial Arts,PG-13,4.4,MOVIE,Cinema,16000
Shed of the Dead,2019,82,Comedy,R,4.2,MOVIE,Cinema,2600
Brahms: The Boy II,2020,86,Drama,PG-13,4.7,MOVIE,Cinema,22000
The Second Mother,2015,112,Comedy,R,7.8,MOVIE,Cinema,18000
National Champions,2021,116,Drama,R,5.7,MOVIE,Cinema,2000
Wolfwalkers,2020,103,Coming-of-Age,PG,8,MOVIE,Cinema,42000
Tangerine,2015,88,Comedy,R,7.1,MOVIE,Cinema,40000
Miller's Girl,2024,93,Psychological Thriller,R,5.2,MOVIE,Cinema,23000
Super Troopers 2,2018,99,Comedy,R,6,MOVIE,Cinema,29000
Robin Hood,2018,116,One-Person Army Action,PG-13,5.3,MOVIE,Cinema,83000
Lost River,2015,95,Drama,R,5.7,MOVIE,Cinema,19000
Io Capitano,2023,121,Drama,Not Rated,7.6,MOVIE,Cinema,16000
Viper Club,2019,109,Drama,R,5.6,MOVIE,Cinema,666
Daddy's Home 2,2017,100,Holiday Comedy,PG-13,6,MOVIE,Cinema,88000
"Alice, Darling",2023,89,Psychological Drama,R,5.6,MOVIE,Cinema,13000
Forever My Girl,2018,108,Comedy,PG,6.6,MOVIE,Cinema,23000
Don't Look Up,2021,138,Dark Comedy,R,7.2,MOVIE,Cinema,636000
Cobweb,2023,88,Psychological Horror,R,5.9,MOVIE,Cinema,41000
The House That Jack Built,2018,152,Serial Killer,R,6.8,MOVIE,Cinema,99000
Love Forecast,2015,118,Comedy,G,6.2,MOVIE,Cinema,1600
The Tiger Hunter,2017,94,Comedy,Not Rated,6,MOVIE,Cinema,1100
Arctic Dogs,2019,92,Computer Animation,PG,4.9,MOVIE,Cinema,2400
Kalank,2019,166,Drama,Not Rated,3.7,MOVIE,Cinema,18000
Jiu Jitsu,2020,102,Action,R,2.9,MOVIE,Cinema,11000
UglyDolls,2019,87,Computer Animation,PG,5.1,MOVIE,Cinema,8200
Silent Night,2023,104,One-Person Army Action,R,5.3,MOVIE,Cinema,25000
The Zone of Interest,2024,105,Period Drama,PG-13,7.3,MOVIE,Cinema,132000
Captain America: Brave New World,2025,118,Action Epic,PG-13,5.9,MOVIE,Cinema,82000
Petite Maman,2022,73,Coming-of-Age,PG,7.4,MOVIE,Cinema,19000
It Chapter Two,2019,169,Dark Fantasy,R,6.5,MOVIE,Cinema,322000
Brian Banks,2019,99,Football,PG-13,7.2,MOVIE,Cinema,10000
The Possession of Hannah Grace,2018,86,Supernatural Horror,R,5.2,MOVIE,Cinema,28000
Into the Deep,2025,90,B-Action,R,3.4,MOVIE,Cinema,784
Children of the Corn,2023,93,Slasher Horror,R,3.8,MOVIE,Cinema,4900
London Fields,2018,118,Dark Comedy,R,3.9,MOVIE,Cinema,13000
Off Season,2019,86,Drama,R,4.7,MOVIE,Cinema,81
Little Girl Blue,2023,95,Docudrama,Not Rated,6.3,MOVIE,Cinema,428
Trolls Band Together,2023,91,Computer Animation,PG,6,MOVIE,Cinema,18000
Hands of Stone,2016,111,Boxing,R,6.6,MOVIE,Cinema,18000
Terrifier 3,2024,125,Dark Comedy,Not Rated,6.3,MOVIE,Cinema,47000
Born to Be Blue,2016,97,Biography,R,6.8,MOVIE,Cinema,9500
New World Order,2015,118,Action,Not Rated,3,MOVIE,Cinema,91
Fences,2016,139,Period Drama,PG-13,7.2,MOVIE,Cinema,121000
God's Not Dead 2,2016,120,Legal Drama,PG,4.3,MOVIE,Cinema,14000
Standing Tall,2015,120,Drama,R,6.9,MOVIE,Cinema,3900
The Angry Birds Movie,2016,97,Animal Adventure,PG,6.3,MOVIE,Cinema,110000
Doctor Strange,2016,115,Superhero,PG-13,7.5,MOVIE,Cinema,838000
Newsies: The Broadway Musical,2017,149,Musical,PG,8.2,MOVIE,Cinema,3900
Armand,2024,118,Psychological Drama,R,6.2,MOVIE,Cinema,2400
Triple Threat,2019,96,Dark Comedy,R,5.6,MOVIE,Cinema,13000
Spy,2015,120,Parody,R,7,MOVIE,Cinema,267000
Kingdom Men Rising,2019,93,Documentary,Not Rated,8.4,MOVIE,Cinema,55
The Second Best Exotic Marigold Hotel,2015,122,Comedy,PG,6.5,MOVIE,Cinema,37000
The Kid Who Would Be King,2019,120,Adventure Epic,PG,6.1,MOVIE,Cinema,20000
Anjaam Pathiraa,2020,144,Crime,Not Rated,7.9,MOVIE,Cinema,10000
The Nightingale,2019,136,Adventure,R,7.3,MOVIE,Cinema,38000
Sound of Metal,2020,120,Tragedy,R,7.7,MOVIE,Cinema,159000
Game Night,2018,100,Dark Comedy,R,6.9,MOVIE,Cinema,264000
Love Hurts,2025,83,Martial Arts,R,5.2,MOVIE,Cinema,7500
By the Sea,2015,122,Steamy Romance,R,5.3,MOVIE,Cinema,23000
Anna,2019,118,Action,R,6.7,MOVIE,Cinema,102000
Hacksaw Ridge,2016,139,Docudrama,R,8.1,MOVIE,Cinema,632000
Keanu,2016,100,Buddy Comedy,R,6.2,MOVIE,Cinema,54000
Civil War,2024,109,Political Thriller,R,7,MOVIE,Cinema,233000
The Handmaiden,2017,145,Dark Romance,Not Rated,8.1,MOVIE,Cinema,186000
The Stronghold,2021,105,Dark Comedy,TV-MA,6.9,MOVIE,Cinema,15000
Believe,2016,119,Drama,PG,5.1,MOVIE,Cinema,488
Missing,2023,111,Psychological Thriller,PG-13,7.1,MOVIE,Cinema,67000
Little Men,2017,85,Drama,PG,6.7,MOVIE,Cinema,8000
While We're Young,2015,97,Comedy,R,6.3,MOVIE,Cinema,55000
Leila's Brothers,2022,165,Drama,Not Rated,7.9,MOVIE,Cinema,16000
Waiting for Anya,2020,109,Drama,Not Rated,6,MOVIE,Cinema,2000
Captain America: Civil War,2016,147,Superhero,PG-13,7.8,MOVIE,Cinema,883000
The Great Battle,2018,136,Action,Not Rated,7,MOVIE,Cinema,6400
Darkest Hour,2017,125,Period Drama,PG-13,7.4,MOVIE,Cinema,230000
Dahmer,2019,101,Docudrama,R,5.6,MOVIE,Cinema,12000
20th Century Women,2017,119,Coming-of-Age,R,7.3,MOVIE,Cinema,51000
The Master and Margarita,2024,157,Period Drama,Not Rated,7.2,MOVIE,Cinema,4400
Creative Control,2016,97,Drama,R,5.4,MOVIE,Cinema,2300
Music,2021,107,Pop Musical,PG-13,3.2,MOVIE,Cinema,9400
The Magnificent Seven,2016,132,Period Drama,PG-13,6.9,MOVIE,Cinema,236000
Slack Bay,2016,122,Comedy,Not Rated,6,MOVIE,Cinema,5000
The Neon Demon,2016,117,Psychological Horror,R,6.1,MOVIE,Cinema,107000
Licorice Pizza,2021,133,Coming-of-Age,R,7.1,MOVIE,Cinema,147000
Better Man,2025,135,Docudrama,R,7.6,MOVIE,Cinema,23000
Zombieland: Double Tap,2019,99,Dark Comedy,R,6.7,MOVIE,Cinema,214000
Beta Test,2016,88,Conspiracy Thriller,Not Rated,4.7,MOVIE,Cinema,22000
Under the Sun,2016,106,Documentary,Not Rated,7.4,MOVIE,Cinema,5200
All Eyez on Me,2017,139,Biography,R,5.9,MOVIE,Cinema,25000
I Saw the Light,2016,123,Biography,R,5.8,MOVIE,Cinema,8500
Abominable,2019,97,Computer Animation,PG,7,MOVIE,Cinema,45000
The Death & Life of John F. Donovan,2019,123,Drama,R,6.1,MOVIE,Cinema,8000
Hippocrates: Diary of a French Doctor,2015,102,Comedy,PG,6.8,MOVIE,Cinema,3600
Ratchet & Clank,2016,94,Buddy Comedy,PG,5.5,MOVIE,Cinema,12000
The Young and Prodigious T.S. Spivet,2015,105,Adventure,PG,7,MOVIE,Cinema,21000
Dragon Rider,2021,91,Adventure,TV-Y7,5.7,MOVIE,Cinema,2300
A Bag of Marbles,2018,110,Biography,Not Rated,7.3,MOVIE,Cinema,6800
Black Sea,2015,114,Adventure,R,6.4,MOVIE,Cinema,42000
Remember This,2022,95,Drama,Not Rated,9.1,MOVIE,Cinema,84
Cold Pursuit,2019,119,Dark Comedy,R,6.2,MOVIE,Cinema,82000
Bombshell: The Hedy Lamarr Story,2018,88,Biography,Not Rated,7.4,MOVIE,Cinema,4500
Savage Salvation,2022,101,Action,R,4.8,MOVIE,Cinema,3400
The Wonder of it All,2019,82,Documentary,Not Rated,7.2,MOVIE,Cinema,223
The Informer,2019,113,Police Procedural,R,6.6,MOVIE,Cinema,44000
Mission: Impossible - Rogue Nation,2015,131,Action,PG-13,7.4,MOVIE,Cinema,423000
Jackie,2016,100,Tragedy,R,6.6,MOVIE,Cinema,85000
A Breath Away,2019,89,Action,Not Rated,5.9,MOVIE,Cinema,8000
Men in Black: International,2019,114,Alien Invasion,PG-13,5.6,MOVIE,Cinema,153000
The Young Messiah,2016,111,Drama,PG-13,5.7,MOVIE,Cinema,4000
Ralph Breaks the Internet,2018,112,Buddy Comedy,PG,7,MOVIE,Cinema,194000
Brainwashed: Sex-Camera-Power,2023,107,Documentary,Not Rated,6.2,MOVIE,Cinema,1100
Far from the Madding Crowd,2015,119,Period Drama,PG-13,7.1,MOVIE,Cinema,55000
Monos,2019,102,Adventure,R,6.8,MOVIE,Cinema,19000
Kin,2018,102,Action,PG-13,5.8,MOVIE,Cinema,19000
Survive the Night,2020,90,Action,R,4,MOVIE,Cinema,12000
The Vatican Tapes,2015,91,Supernatural Horror,PG-13,4.7,MOVIE,Cinema,20000
Rogue One: A Star Wars Story,2016,133,Action Epic,PG-13,7.8,MOVIE,Cinema,710000
The Day After,2017,92,Drama,Not Rated,6.9,MOVIE,Cinema,2600
PGS: Intuition Is Your Personal Guidance System,2017,83,Documentary,Not Rated,8.8,MOVIE,Cinema,67
Persian Lessons,2020,127,Drama,Not Rated,7.4,MOVIE,Cinema,14000
Molly's Game,2018,140,Docudrama,R,7.4,MOVIE,Cinema,196000
Midnight in the Switchgrass,2021,99,Police Procedural,R,4.6,MOVIE,Cinema,12000
Big Sonia,2016,93,Documentary,Not Rated,7.6,MOVIE,Cinema,462
The Color Purple,2023,141,Drama,PG-13,6.8,MOVIE,Cinema,19000
Smoke Sauna Sisterhood,2024,89,Documentary,Not Rated,7.1,MOVIE,Cinema,2700
Insurgent,2015,119,Action,PG-13,6.2,MOVIE,Cinema,263000
The Good Dinosaur,2015,93,Animal Adventure,PG,6.7,MOVIE,Cinema,133000
The Three Musketeers - Part II: Milady,2024,115,Costume Drama,Not Rated,6.4,MOVIE,Cinema,10000
The Garfield Movie,2024,101,Animal Adventure,PG,5.7,MOVIE,Cinema,24000
Cruella,2021,134,Caper,PG-13,7.3,MOVIE,Cinema,280000
Ends of the Earth,2021,84,Documentary,Not Rated,9.2,MOVIE,Cinema,18
Lady Bird,2017,94,Coming-of-Age,R,7.4,MOVIE,Cinema,350000
The Mummy,2017,110,Supernatural Horror,PG-13,5.4,MOVIE,Cinema,213000
Hundreds of Beavers,2024,108,Dark Comedy,Not Rated,7.6,MOVIE,Cinema,12000
Chappie,2015,120,Artificial Intelligence,R,6.8,MOVIE,Cinema,277000
A Private War,2018,110,Biography,R,6.7,MOVIE,Cinema,22000
Poker Face,2022,94,Psychological Thriller,Not Rated,5.2,MOVIE,Cinema,15000
Son of Saul,2015,107,Prison Drama,R,7.4,MOVIE,Cinema,53000
Hamari Adhuri Kahani,2015,129,Drama,Not Rated,6.7,MOVIE,Cinema,7200
Return to Seoul,2022,119,Drama,R,6.9,MOVIE,Cinema,9700
Home,2015,94,Computer Animation,PG,6.5,MOVIE,Cinema,116000
Jojo Rabbit,2019,108,Coming-of-Age,PG-13,7.9,MOVIE,Cinema,464000
April and the Extraordinary World,2016,105,Sci-Fi Epic,PG,7.2,MOVIE,Cinema,8700
Dune: Part One,2021,155,Desert Adventure,PG-13,8,MOVIE,Cinema,949000
The Worst Person in the World,2021,128,Coming-of-Age,R,7.7,MOVIE,Cinema,110000
Impractical Jokers: The Movie,2020,92,Comedy,PG-13,5.7,MOVIE,Cinema,7500
Jay and Silent Bob Reboot,2019,105,Buddy Comedy,R,5.6,MOVIE,Cinema,29000
The Purge: Election Year,2016,108,Dark Comedy,R,6,MOVIE,Cinema,115000
Long Day's Journey Into Night,2018,138,Drama,Not Rated,7.1,MOVIE,Cinema,9800
Independence Day: Resurgence,2016,120,Adventure Epic,PG-13,5.2,MOVIE,Cinema,194000
Shanghai,2015,105,Crime,R,6.3,MOVIE,Cinema,11000
The Boss Baby,2017,97,Computer Animation,PG,6.3,MOVIE,Cinema,149000
The Last Showgirl,2025,88,Workplace Drama,R,6.5,MOVIE,Cinema,9300
The Man in the Basement,2023,114,Drama,Not Rated,5.9,MOVIE,Cinema,875
Child's Play,2019,90,Cyber Thriller,R,5.7,MOVIE,Cinema,58000
"Hail, Caesar!",2016,106,Satire,PG-13,6.3,MOVIE,Cinema,146000
Bombay Velvet,2015,149,Action,Not Rated,5.5,MOVIE,Cinema,6600
The Great Wall,2017,103,Action,PG-13,5.9,MOVIE,Cinema,153000
Dirty Grandpa,2016,102,Buddy Comedy,R,5.9,MOVIE,Cinema,138000
Origin,2024,141,Drama,PG-13,7.2,MOVIE,Cinema,7200
Avengement,2019,87,Gangster,Not Rated,6.6,MOVIE,Cinema,23000
MR-9: Do or Die,2024,106,Action,Not Rated,3.5,MOVIE,Cinema,1300
Split,2017,117,Psychological Horror,PG-13,7.3,MOVIE,Cinema,587000
Things to Come,2016,102,Drama,PG-13,6.9,MOVIE,Cinema,15000
The Universal Theory,2023,118,Drama,Not Rated,6.1,MOVIE,Cinema,1300
The Beekeeper,2024,105,One-Person Army Action,R,6.3,MOVIE,Cinema,153000
Dampyr,2023,109,Fantasy,R,5.3,MOVIE,Cinema,3200
American Ultra,2015,96,Dark Comedy,R,6.1,MOVIE,Cinema,98000
Autumn and the Black Jaguar,2025,100,Adventure,PG,5.6,MOVIE,Cinema,974
Thor: Ragnarok,2017,130,Superhero,PG-13,7.9,MOVIE,Cinema,850000
Full Circle,2023,103,Documentary,TV-MA,7.4,MOVIE,Cinema,197
Piece by Piece,2024,93,Computer Animation,PG,6.9,MOVIE,Cinema,5200
Ant-Man and the Wasp,2018,118,Superhero,PG-13,7,MOVIE,Cinema,469000
Irrational Man,2015,95,Dark Comedy,R,6.6,MOVIE,Cinema,69000
Counting,2015,111,Documentary,Not Rated,6.2,MOVIE,Cinema,175
The Accountant,2016,128,Conspiracy Thriller,R,7.3,MOVIE,Cinema,340000
You Were Never Really Here,2018,89,Crime,R,6.7,MOVIE,Cinema,131000
Spencer,2021,117,Docudrama,R,6.5,MOVIE,Cinema,80000
Hillary's America: The Secret History of the Democratic Party,2016,106,Biography,PG-13,4.8,MOVIE,Cinema,8100
Chosen,2016,105,Drama,R,5.3,MOVIE,Cinema,1100
Underwater,2020,95,Disaster,PG-13,5.9,MOVIE,Cinema,103000
The Iron Claw,2023,132,Docudrama,R,7.6,MOVIE,Cinema,103000
Reminiscence,2021,116,Cyber Thriller,PG-13,5.9,MOVIE,Cinema,69000
Saving Banksy,2017,80,Documentary,Not Rated,6.8,MOVIE,Cinema,1100
John Wick: Chapter 3 - Parabellum,2019,130,Gun Fu,R,7.4,MOVIE,Cinema,449000
Ma,2019,99,Psychological Horror,R,5.6,MOVIE,Cinema,66000
Ricki and the Flash,2015,101,Comedy,PG-13,6,MOVIE,Cinema,25000
13 Fanboy,2022,101,Slasher Horror,Not Rated,3.9,MOVIE,Cinema,1400
The Legend of Maula Jatt,2022,153,Action,Not Rated,8.6,MOVIE,Cinema,11000
Anomalisa,2016,90,Adult Animation,R,7.2,MOVIE,Cinema,77000
The Founder,2017,115,Docudrama,PG-13,7.2,MOVIE,Cinema,191000
The Ledge,2022,86,Action,R,5.2,MOVIE,Cinema,6800
Maze Runner: The Scorch Trials,2015,131,Dystopian Sci-Fi,PG-13,6.3,MOVIE,Cinema,291000
Cleaner,2025,97,One-Person Army Action,R,4.9,MOVIE,Cinema,3300
Amanda,2024,93,Comedy,Not Rated,6.5,MOVIE,Cinema,1500
Tulip Fever,2017,105,Costume Drama,R,6.2,MOVIE,Cinema,24000
The Gardener,2018,88,Documentary,TV-G,7.4,MOVIE,Cinema,300
Operation Fortune: Ruse de Guerre,2023,114,Spy,R,6.3,MOVIE,Cinema,99000
All the Queen's Horses,2017,70,Documentary,TV-14,6.7,MOVIE,Cinema,564
Early Man,2018,89,Soccer,PG,6.1,MOVIE,Cinema,25000
Personal Shopper,2017,105,Psychological Drama,R,6.1,MOVIE,Cinema,45000
Zhongkui: Snow Girl and the Dark Crystal,2015,118,Action,Not Rated,5.3,MOVIE,Cinema,1500
Knives Out,2019,130,Cozy Mystery,PG-13,7.9,MOVIE,Cinema,812000
Grand Theft Hamlet,2025,89,Adult Animation,R,6.9,MOVIE,Cinema,1700
The Take,2016,92,Cop Drama,R,6.3,MOVIE,Cinema,53000
Summer 1993,2018,97,Drama,Not Rated,7.1,MOVIE,Cinema,8700
31,2016,102,Horror,Not Rated,5.1,MOVIE,Cinema,24000
The Fall of the American Empire,2019,127,Comedy,R,6.9,MOVIE,Cinema,4400
Wonder Park,2019,85,Computer Animation,PG,5.9,MOVIE,Cinema,13000
A Mouthful of Air,2023,105,Tragedy,R,6.1,MOVIE,Cinema,3100
Unfriended,2015,83,Found Footage Horror,R,5.6,MOVIE,Cinema,84000
Creed III,2023,116,Boxing,PG-13,6.7,MOVIE,Cinema,99000
Deva,2025,156,One-Person Army Action,Not Rated,7.3,MOVIE,Cinema,19000
Shine,2018,95,Drama,R,4.6,MOVIE,Cinema,253
A Lego Brickumentary,2015,93,Documentary,G,6.8,MOVIE,Cinema,2300
Guardians of the Galaxy Vol. 3,2023,150,Space Sci-Fi,PG-13,7.9,MOVIE,Cinema,422000
Elle,2016,130,Tragedy,R,7.1,MOVIE,Cinema,73000
Blood Feast,2018,90,Horror,R,3.8,MOVIE,Cinema,1200
Growing Up Smith,2017,102,Comedy,PG-13,6.7,MOVIE,Cinema,1500
Shikara,2020,118,Drama,Not Rated,3.4,MOVIE,Cinema,16000
Why Him?,2016,111,Comedy,R,6.2,MOVIE,Cinema,130000
The Disappointments Room,2016,91,Drama,R,3.9,MOVIE,Cinema,11000
Compartment Number 6,2021,107,Drama,R,7.2,MOVIE,Cinema,17000
War Room,2015,120,Drama,PG,6.5,MOVIE,Cinema,17000
The Book of Henry,2017,105,Crime,PG-13,6.6,MOVIE,Cinema,30000
Rings,2017,102,Supernatural Horror,PG-13,4.5,MOVIE,Cinema,44000
Cut Throat City,2020,123,Action,R,4.9,MOVIE,Cinema,3300
Last Cab to Darwin,2016,123,Adventure,Not Rated,7.2,MOVIE,Cinema,4300
"Everything, Everything",2017,96,Teen Romance,PG-13,6.3,MOVIE,Cinema,44000
Apparition Hill,2016,115,Documentary,PG-13,8.8,MOVIE,Cinema,77
Legend,2015,132,Docudrama,R,6.9,MOVIE,Cinema,213000
Bagman,2025,93,Horror,PG-13,4.6,MOVIE,Cinema,4500
Crown Vic,2019,110,Crime,R,6.5,MOVIE,Cinema,8900
The Wolf of Snow Hollow,2020,85,Dark Comedy,R,6.2,MOVIE,Cinema,26000
Point Break,2015,114,Extreme Sport,PG-13,5.3,MOVIE,Cinema,68000
Indivisible,2018,119,Drama,PG-13,5.9,MOVIE,Cinema,1400
Just Mercy,2020,137,Legal Drama,PG-13,7.6,MOVIE,Cinema,80000
Eighth Grade,2018,93,Coming-of-Age,R,7.3,MOVIE,Cinema,85000
Money Plane,2020,82,Action,Not Rated,3.2,MOVIE,Cinema,5900
Tina,2025,124,Drama,Not Rated,8.5,MOVIE,Cinema,251
Sunset,2019,142,Drama,R,6.2,MOVIE,Cinema,4700
The Assessment,2025,114,Drama,R,7.2,MOVIE,Cinema,727
Fifty Shades Freed,2018,105,Steamy Romance,R,4.5,MOVIE,Cinema,78000
The Croods: A New Age,2020,95,Computer Animation,PG,6.9,MOVIE,Cinema,57000
Thesis,2016,125,Teen Horror,R,7.4,MOVIE,Cinema,44000
Halloween Kills,2021,105,Slasher Horror,R,5.5,MOVIE,Cinema,103000
Madame,2018,91,Comedy,TV-14,6.1,MOVIE,Cinema,8900
Middle School: The Worst Years of My Life,2016,92,Comedy,PG,6.1,MOVIE,Cinema,10000
Sorry to Bother You,2018,112,Dark Comedy,R,6.9,MOVIE,Cinema,91000
Kong: Skull Island,2017,118,Jungle Adventure,PG-13,6.7,MOVIE,Cinema,362000
Nickel Boys,2025,140,Drama,PG-13,7,MOVIE,Cinema,17000
Hell Fest,2018,89,Slasher Horror,R,5.5,MOVIE,Cinema,21000
Marry Me,2022,112,Romantic Comedy,PG-13,6.1,MOVIE,Cinema,46000
Smallfoot,2018,96,Computer Animation,PG,6.6,MOVIE,Cinema,44000
Asteroid City,2023,105,Quirky Comedy,PG-13,6.4,MOVIE,Cinema,130000
Tanu Weds Manu Returns,2015,128,Romantic Comedy,Not Rated,7.6,MOVIE,Cinema,30000
Mr. Right,2016,95,Romantic Comedy,R,6.3,MOVIE,Cinema,64000
The Photograph,2020,106,Drama,PG-13,6.1,MOVIE,Cinema,6400
Gold,2022,97,Contemporary Western,R,5.4,MOVIE,Cinema,13000
Climax,2019,97,Psychological Horror,R,6.9,MOVIE,Cinema,85000
