title,release_year,genres,budget,revenue,roi,imdb_score
Don't Look Up,2021,Dark Comedy,75000000,791863,-0.99,7.2
Cobweb,2023,Psychological Horror,13000000,10091821,-0.22,5.9
The House That Jack Built,2018,Serial Killer,8700000,3081913,-0.65,6.8
Love Forecast,2015,Comedy,4000000,13608637,2.4,6.2
The Tiger Hunter,2017,Comedy,1250000,62398,-0.95,6
Arctic Dogs,2019,Computer Animation,61000000,10445192,-0.83,4.9
Kalank,2019,Drama,1500000000,17987034,-0.99,3.7
Jiu Jitsu,2020,Action,8000000,99924,-0.99,2.9
UglyDolls,2019,Computer Animation,45000000,32450241,-0.28,5.1
Silent Night,2023,One-Person Army Action,10000000,11067228,0.11,5.3
The Zone of Interest,2024,Period Drama,15000000,52631884,2.51,7.3
Captain America: Brave New World,2025,Action Epic,180000000,402240065,1.23,5.9
Petite Maman,2022,Coming-of-Age,2800000,1990331,-0.29,7.4
It Chapter Two,2019,Dark Fantasy,79000000,473123154,4.99,6.5
Brian Banks,2019,Football,10000000,4376819,-0.56,7.2
The Possession of Hannah Grace,2018,Supernatural Horror,7700000,43016528,4.59,5.2
Into the Deep,2025,B-Action,3000000,87338,-0.97,3.4
Children of the Corn,2023,Slasher Horror,10000000,575179,-0.94,3.8
London Fields,2018,Dark Comedy,8000000,487420,-0.94,3.9
Off Season,2019,Drama,200000,12544,-0.94,4.7
Little Girl Blue,2023,Docudrama,910043,443485,-0.51,6.3
Trolls Band Together,2023,Computer Animation,95000000,209646030,1.21,6
Hands of Stone,2016,Boxing,20000000,4978353,-0.75,6.6
Terrifier 3,2024,Dark Comedy,2000000,90322103,44.16,6.3
Born to Be Blue,2016,Biography,6500000,1553337,-0.76,6.8
New World Order,2015,Action,5000000,20205,-1,3
Fences,2016,Period Drama,24000000,64414761,1.68,7.2
God's Not Dead 2,2016,Legal Drama,5000000,24487848,3.9,4.3
Standing Tall,2015,Drama,5000000,4323120,-0.14,6.9
The Angry Birds Movie,2016,Animal Adventure,73000000,352333929,3.83,6.3
Doctor Strange,2016,Superhero,165000000,677796833,3.11,7.5
Newsies: The Broadway Musical,2017,Musical,2000000,2827489,0.41,8.2
Armand,2024,Psychological Drama,22000000,956969,-0.96,6.2
Triple Threat,2019,Dark Comedy,10000000,345900,-0.97,5.6
Spy,2015,Parody,65000000,235666219,2.63,7
Kingdom Men Rising,2019,Documentary,300000,1188936,2.96,8.4
The Second Best Exotic Marigold Hotel,2015,Comedy,10000000,85979176,7.6,6.5
The Kid Who Would Be King,2019,Adventure Epic,59000000,32140970,-0.46,6.1
Anjaam Pathiraa,2020,Crime,20000000,1106211,-0.94,7.9
The Nightingale,2019,Adventure,2000000,988687,-0.51,7.3
Sound of Metal,2020,Tragedy,5400000,516520,-0.9,7.7
Game Night,2018,Dark Comedy,37000000,117768230,2.18,6.9
Love Hurts,2025,Martial Arts,18000000,17407093,-0.03,5.2
By the Sea,2015,Steamy Romance,10000000,3334927,-0.67,5.3
Anna,2019,Action,30690000,31626978,0.03,6.7
Hacksaw Ridge,2016,Docudrama,40000000,180563636,3.51,8.1
Keanu,2016,Buddy Comedy,15000000,20749853,0.38,6.2
Civil War,2024,Political Thriller,50000000,127337886,1.55,7
The Handmaiden,2017,Dark Romance,10000000000,37863670,-1,8.1
The Stronghold,2021,Dark Comedy,13000000,18066143,0.39,6.9
Believe,2016,Drama,3500000,890303,-0.75,5.1
Missing,2023,Psychological Thriller,7000000,48767848,5.97,7.1
Little Men,2017,Drama,2000000,2008649,0,6.7
While We're Young,2015,Comedy,10000000,18117839,0.81,6.3
Leila's Brothers,2022,Drama,5000000,840512,-0.83,7.9
Waiting for Anya,2020,Drama,10000000,138950,-0.99,6
Captain America: Civil War,2016,Superhero,250000000,1155046416,3.62,7.8
The Great Battle,2018,Action,15000000000,41509280,-1,7
Darkest Hour,2017,Period Drama,30000000,150847274,4.03,7.4
Dahmer,2019,Docudrama,250000,144008,-0.42,5.6
20th Century Women,2017,Coming-of-Age,7000000,7214806,0.03,7.3
The Master and Margarita,2024,Period Drama,1200000000,28034664,-0.98,7.2
Creative Control,2016,Drama,1000000,63014,-0.94,5.4
Music,2021,Pop Musical,16000000,645949,-0.96,3.2
The Magnificent Seven,2016,Period Drama,90000000,162360695,0.8,6.9
Slack Bay,2016,Comedy,7209690,4925446,-0.32,6
The Neon Demon,2016,Psychological Horror,7000000,3073700,-0.56,6.1
Licorice Pizza,2021,Coming-of-Age,40000000,33276075,-0.17,7.1
Better Man,2025,Docudrama,110000000,22122995,-0.8,7.6
Zombieland: Double Tap,2019,Dark Comedy,42000000,122810399,1.92,6.7
Beta Test,2016,Conspiracy Thriller,1600000,10104,-0.99,4.7
Under the Sun,2016,Documentary,390000,305993,-0.22,7.4
All Eyez on Me,2017,Biography,40000000,55668698,0.39,5.9
I Saw the Light,2016,Biography,13000000,1767963,-0.86,5.8
Abominable,2019,Computer Animation,75000000,190304772,1.54,7
The Death & Life of John F. Donovan,2019,Drama,35000000,3326364,-0.9,6.1
Hippocrates: Diary of a French Doctor,2015,Comedy,3785000,7555591,1,6.8
Ratchet & Clank,2016,Buddy Comedy,20000000,13385737,-0.33,5.5
The Young and Prodigious T.S. Spivet,2015,Adventure,33000000,9494789,-0.71,7
Dragon Rider,2021,Adventure,15000000,6977378,-0.53,5.7
A Bag of Marbles,2018,Biography,21400000,10898998,-0.49,7.3
Black Sea,2015,Adventure,8000000,4070789,-0.49,6.4
Remember This,2022,Drama,500000,5120,-0.99,9.1
Cold Pursuit,2019,Dark Comedy,60000000,76419755,0.27,6.2
Bombshell: The Hedy Lamarr Story,2018,Biography,1500000,1092941,-0.27,7.4
Savage Salvation,2022,Action,20000000,225654,-0.99,4.8
The Wonder of it All,2019,Documentary,175000,781016,3.46,7.2
The Informer,2019,Police Procedural,60000000,2927708,-0.95,6.6
Mission: Impossible - Rogue Nation,2015,Action,150000000,682716636,3.55,7.4
Jackie,2016,Tragedy,9000000,29778202,2.31,6.6
A Breath Away,2019,Action,11270000,2842040,-0.75,5.9
Men in Black: International,2019,Alien Invasion,110000000,253890701,1.31,5.6
The Young Messiah,2016,Drama,18500000,7330338,-0.6,5.7
Ralph Breaks the Internet,2018,Buddy Comedy,175000000,529323962,2.02,7
Brainwashed: Sex-Camera-Power,2023,Documentary,1550000,46077,-0.97,6.2
Far from the Madding Crowd,2015,Period Drama,12000000,30599369,1.55,7.1
Monos,2019,Adventure,1800000,1929915,0.07,6.8
Kin,2018,Action,30000000,10313019,-0.66,5.8
Survive the Night,2020,Action,3500000,220371,-0.94,4
The Vatican Tapes,2015,Supernatural Horror,8000000,13015764,0.63,4.7
Rogue One: A Star Wars Story,2016,Action Epic,200000000,1058684742,4.29,7.8
The Day After,2017,Drama,100000,166022,0.66,6.9
PGS: Intuition Is Your Personal Guidance System,2017,Documentary,1250000,35423,-0.97,8.8
Persian Lessons,2020,Drama,4000000,4849240,0.21,7.4
Molly's Game,2018,Docudrama,30000000,59284015,0.98,7.4
Midnight in the Switchgrass,2021,Police Procedural,15000000,229811,-0.98,4.6
Big Sonia,2016,Documentary,500000,212471,-0.58,7.6
The Color Purple,2023,Drama,100000000,68919191,-0.31,6.8
Smoke Sauna Sisterhood,2024,Documentary,275000,432476,0.57,7.1
Insurgent,2015,Action,110000000,297002527,1.7,6.2
The Good Dinosaur,2015,Animal Adventure,200000000,332207671,0.66,6.7
The Three Musketeers - Part II: Milady,2024,Costume Drama,36000000,15439299,-0.57,6.4
The Garfield Movie,2024,Animal Adventure,60000000,257211519,3.29,5.7
Cruella,2021,Caper,100000000,233503234,1.34,7.3
Ends of the Earth,2021,Documentary,250000,286356,0.15,9.2
Lady Bird,2017,Coming-of-Age,10000000,78987280,6.9,7.4
The Mummy,2017,Supernatural Horror,125000000,409231607,2.27,5.4
Hundreds of Beavers,2024,Dark Comedy,150000,1067382,6.12,7.6
Chappie,2015,Artificial Intelligence,49000000,102811889,1.1,6.8
A Private War,2018,Biography,18800000,3915207,-0.79,6.7
Poker Face,2022,Psychological Thriller,22500000,2633734,-0.88,5.2
Son of Saul,2015,Prison Drama,1500000,6659121,3.44,7.4
Hamari Adhuri Kahani,2015,Drama,350000000,5099087,-0.99,6.7
Return to Seoul,2022,Drama,2200000,2175376,-0.01,6.9
Home,2015,Computer Animation,135000000,386041607,1.86,6.5
Jojo Rabbit,2019,Coming-of-Age,14000000,93694707,5.69,7.9
April and the Extraordinary World,2016,Sci-Fi Epic,9180292,495879,-0.95,7.2
Dune: Part One,2021,Desert Adventure,165000000,410668018,1.49,8
The Worst Person in the World,2021,Coming-of-Age,5000000,12687507,1.54,7.7
Impractical Jokers: The Movie,2020,Comedy,3000000,10691091,2.56,5.7
Jay and Silent Bob Reboot,2019,Buddy Comedy,10000000,4691248,-0.53,5.6
The Purge: Election Year,2016,Dark Comedy,10000000,118587880,10.86,6
Long Day's Journey Into Night,2018,Drama,40000000,42140994,0.05,7.1
Independence Day: Resurgence,2016,Adventure Epic,165000000,389681935,1.36,5.2
Shanghai,2015,Crime,50000000,15302850,-0.69,6.3
The Boss Baby,2017,Computer Animation,125000000,527965936,3.22,6.3
The Last Showgirl,2025,Workplace Drama,1800000,6259412,2.48,6.5
The Man in the Basement,2023,Drama,4560000,462250,-0.9,5.9
Child's Play,2019,Cyber Thriller,10000000,44907074,3.49,5.7
"Hail, Caesar!",2016,Satire,22000000,63945241,1.91,6.3
Bombay Velvet,2015,Action,800000000,758478,-1,5.5
The Great Wall,2017,Action,150000000,334933831,1.23,5.9
Dirty Grandpa,2016,Buddy Comedy,25000000,94073028,2.76,5.9
Origin,2024,Drama,38000000,4837596,-0.87,7.2
Avengement,2019,Gangster,2000000,39153,-0.98,6.6
MR-9: Do or Die,2024,Action,800000000,109706,-1,3.5
Split,2017,Psychological Horror,9000000,278454417,29.94,7.3
Things to Come,2016,Drama,3200000,5638693,0.76,6.9
The Universal Theory,2023,Drama,419283,561883,0.34,6.1
The Beekeeper,2024,One-Person Army Action,40000000,162619535,3.07,6.3
Dampyr,2023,Fantasy,15000000,362113,-0.98,5.3
American Ultra,2015,Dark Comedy,28000000,27262374,-0.03,6.1
Autumn and the Black Jaguar,2025,Adventure,10000000,22021437,1.2,5.6
Thor: Ragnarok,2017,Superhero,180000000,855301806,3.75,7.9
Full Circle,2023,Documentary,450000,29767,-0.93,7.4
Piece by Piece,2024,Computer Animation,16000000,10662106,-0.33,6.9
Ant-Man and the Wasp,2018,Superhero,162000000,622674139,2.84,7
Irrational Man,2015,Dark Comedy,11000000,27391084,1.49,6.6
Counting,2015,Documentary,50000,8374,-0.83,6.2
The Accountant,2016,Conspiracy Thriller,44000000,155560045,2.54,7.3
You Were Never Really Here,2018,Crime,2500000,9360514,2.74,6.7
Spencer,2021,Docudrama,18000000,25246967,0.4,6.5
Hillary's America: The Secret History of the Democratic Party,2016,Biography,5000000,13099931,1.62,4.8
Chosen,2016,Drama,2300000,9536,-1,5.3
Underwater,2020,Disaster,80000000,40882928,-0.49,5.9
The Iron Claw,2023,Docudrama,15000000,45204449,2.01,7.6
Reminiscence,2021,Cyber Thriller,54000000,16400193,-0.7,5.9
Saving Banksy,2017,Documentary,66000,47965,-0.27,6.8
John Wick: Chapter 3 - Parabellum,2019,Gun Fu,75000000,328349908,3.38,7.4
Ma,2019,Psychological Horror,5000000,61220856,11.24,5.6
Ricki and the Flash,2015,Comedy,18000000,41325328,1.3,6
13 Fanboy,2022,Slasher Horror,105507,11572,-0.89,3.9
The Legend of Maula Jatt,2022,Action,700000000,13941539,-0.98,8.6
Anomalisa,2016,Adult Animation,8000000,5659286,-0.29,7.2
The Founder,2017,Docudrama,25000000,24121245,-0.04,7.2
The Ledge,2022,Action,2500000,685303,-0.73,5.2
Maze Runner: The Scorch Trials,2015,Dystopian Sci-Fi,61000000,312296056,4.12,6.3
Cleaner,2025,One-Person Army Action,25000000,1281626,-0.95,4.9
Amanda,2024,Comedy,850000,133108,-0.84,6.5
Tulip Fever,2017,Costume Drama,25000000,9204549,-0.63,6.2
The Gardener,2018,Documentary,85850,149723,0.74,7.4
Operation Fortune: Ruse de Guerre,2023,Spy,50000000,48983306,-0.02,6.3
All the Queen's Horses,2017,Documentary,450000,16172,-0.96,6.7
Early Man,2018,Soccer,50000000,54629139,0.09,6.1
Personal Shopper,2017,Psychological Drama,6000000,2840408,-0.53,6.1
Zhongkui: Snow Girl and the Dark Crystal,2015,Action,26400000,64325947,1.44,5.3
Knives Out,2019,Cozy Mystery,40000000,312897920,6.82,7.9
Grand Theft Hamlet,2025,Adult Animation,200000,218040,0.09,6.9
The Take,2016,Cop Drama,20000000,14857808,-0.26,6.3
Summer 1993,2018,Drama,960000,2989015,2.11,7.1
31,2016,Horror,1500000,850419,-0.43,5.1
The Fall of the American Empire,2019,Comedy,6900000,4110928,-0.4,6.9
Wonder Park,2019,Computer Animation,90000000,119559110,0.33,5.9
A Mouthful of Air,2023,Tragedy,2300000,269435,-0.88,6.1
Unfriended,2015,Found Footage Horror,1000000,62882090,61.88,5.6
Creed III,2023,Boxing,75000000,276148615,2.68,6.7
Deva,2025,One-Person Army Action,500000000,1091296,-1,7.3
Shine,2018,Drama,400000,333388,-0.17,4.6
A Lego Brickumentary,2015,Documentary,1000000,101531,-0.9,6.8
Guardians of the Galaxy Vol. 3,2023,Space Sci-Fi,250000000,845555777,2.38,7.9
Elle,2016,Tragedy,9000000,12449281,0.38,7.1
Blood Feast,2018,Horror,1200000,8708,-0.99,3.8
Growing Up Smith,2017,Comedy,2000000,35312,-0.98,6.7
Shikara,2020,Drama,280000000,1109387,-1,3.4
Why Him?,2016,Comedy,38000000,118102725,2.11,6.2
The Disappointments Room,2016,Drama,15000000,5745040,-0.62,3.9
Compartment Number 6,2021,Drama,2230000,2669654,0.2,7.2
War Room,2015,Drama,3000000,73267874,23.42,6.5
The Book of Henry,2017,Crime,10000000,4596705,-0.54,6.6
Rings,2017,Supernatural Horror,25000000,83080890,2.32,4.5
Cut Throat City,2020,Action,6500000,864928,-0.87,4.9
Last Cab to Darwin,2016,Adventure,3992880,5945585,0.49,7.2
"Everything, Everything",2017,Teen Romance,10000000,61721140,5.17,6.3
Apparition Hill,2016,Documentary,120000,170457,0.42,8.8
Legend,2015,Docudrama,30000000,42972994,0.43,6.9
Bagman,2025,Horror,14500000,1325557,-0.91,4.6
Crown Vic,2019,Crime,3600000,3868,-1,6.5
The Wolf of Snow Hollow,2020,Dark Comedy,2000000,266963,-0.87,6.2
Point Break,2015,Extreme Sport,105000000,133782481,0.27,5.3
Indivisible,2018,Drama,2700000,3589633,0.33,5.9
Just Mercy,2020,Legal Drama,25000000,50901502,1.04,7.6
Eighth Grade,2018,Coming-of-Age,2000000,14347433,6.17,7.3
Money Plane,2020,Action,5000000,618,-1,3.2
Tina,2025,Drama,4300000,1626096,-0.62,8.5
Sunset,2019,Drama,8900000,1083299,-0.88,6.2
The Assessment,2025,Drama,8000000,152905,-0.98,7.2
Fifty Shades Freed,2018,Steamy Romance,55000000,371985018,5.76,4.5
The Croods: A New Age,2020,Computer Animation,65000000,215905815,2.32,6.9
Thesis,2016,Teen Horror,721214,14227,-0.98,7.4
Halloween Kills,2021,Slasher Horror,20000000,133423964,5.67,5.5
Madame,2018,Comedy,4000000,5381950,0.35,6.1
Middle School: The Worst Years of My Life,2016,Comedy,8500000,23316139,1.74,6.1
Sorry to Bother You,2018,Dark Comedy,3200000,18170707,4.68,6.9
Kong: Skull Island,2017,Jungle Adventure,185000000,568652812,2.07,6.7
Nickel Boys,2025,Drama,20000000,3016380,-0.85,7
Hell Fest,2018,Slasher Horror,5500000,18160930,2.3,5.5
Marry Me,2022,Romantic Comedy,23000000,50541093,1.2,6.1
Smallfoot,2018,Computer Animation,80000000,218015531,1.73,6.6
Asteroid City,2023,Quirky Comedy,25000000,53857743,1.15,6.4
Tanu Weds Manu Returns,2015,Romantic Comedy,390000000,4180081,-0.99,7.6
Mr. Right,2016,Romantic Comedy,8000000,607595,-0.92,6.3
The Photograph,2020,Drama,16000000,20690779,0.29,6.1
Gold,2022,Contemporary Western,6500000,176048,-0.97,5.4
Climax,2019,Psychological Horror,2600000,1696269,-0.35,6.9
The Ark and the Darkness,2024,Documentary,500000,2097560,3.2,5.3
Shaan,2022,Action,514046,11911,-0.98,6
Moscow Never Sleeps,2019,Drama,3700000,38004,-0.99,5.5
Harold and the Purple Crayon,2024,High-Concept Comedy,40000000,32227855,-0.19,5.7
Humanist Vampire Seeking Consenting Suicidal Person,2024,Coming-of-Age,4000000,104189,-0.97,7
Bergman Island,2021,Comedy,6000000,1005843,-0.83,6.6
80 for Brady,2023,Football,28000000,40480875,0.45,5.9
Max Steel,2016,Superhero,10000000,6272403,-0.37,4.6
The Forest,2016,Supernatural Horror,10000000,39712000,2.97,4.8
Second Act,2018,Comedy,16000000,72294844,3.52,5.8
Manchester by the Sea,2016,Psychological Drama,9000000,78988148,7.78,7.8
Avatar: The Way of Water,2022,Action Epic,350000000,2320250281,5.63,7.5
Pixels,2015,Alien Invasion,88000000,244874809,1.78,5.6
Demolition,2016,Comedy,10000000,4366460,-0.56,7
The House with a Clock in Its Walls,2018,Dark Fantasy,42000000,131523093,2.13,6.1
Free Fire,2017,Dark Comedy,5500000,3719383,-0.32,6.3
Muori di lei,2025,Comedy,5000000,301556,-0.94,6.9
The Fate of the Furious,2017,Car Action,250000000,1236009236,3.94,6.6
Alpha,2018,Adventure,51000000,97254328,0.91,6.6
The Green Knight,2021,Adventure Epic,15000000,18887953,0.26,6.6
Only the Brave,2017,Disaster,38000000,26351322,-0.31,7.6
Godard Mon Amour,2019,Biography,11110000,1332204,-0.88,6.6
Absolution,2024,Gangster,30000000,3996104,-0.87,5.2
Cars 3,2017,Car Action,175000000,383930656,1.19,6.7
The Hero,2017,Contemporary Western,1200000,4101699,2.42,6.5
Hypnotic,2023,Conspiracy Thriller,70000000,16281937,-0.77,5.5
The Professor and the Madman,2019,Prison Drama,25000000,5098627,-0.8,7.2
Gloria,2015,Biography,4000000,14701,-1,6.7
Strange World,2022,Computer Animation,120000000,73621640,-0.39,5.7
Futuro Beach,2015,Tragedy,4000000,779835,-0.81,6.3
Annabelle: Creation,2017,Supernatural Horror,15000000,306592201,19.44,6.5
Captive,2015,True Crime,2000000,2801508,0.4,5.4
The Favourite,2018,Costume Drama,15000000,95918706,5.39,7.5
Ahed's Knee,2021,Drama,1450000,228833,-0.84,6.3
The 355,2022,Cyber Thriller,75000000,27827745,-0.63,5.6
Silence,2017,Period Drama,46000000,23834809,-0.48,7.2
American Deep State,2020,Documentary,5000000,15269,-1,7.7
Batman v Superman: Dawn of Justice,2016,Superhero,250000000,874362803,2.5,6.5
The Darkness,2016,Supernatural Horror,4000000,10898293,1.72,4.5
The Mercy,2018,Period Drama,18000000,4536348,-0.75,6
We Are the Flesh,2017,Drama,400000,8438,-0.98,4.7
Equity,2016,Drama,1800000,1672306,-0.07,5.6
Kensuke's Kingdom,2024,Adventure,10945388,3224642,-0.71,6.9
WARx2,2016,Comedy,3000000,2310625,-0.23,7.2
Escape Room,2019,Psychological Horror,9000000,155712077,16.3,6.4
The Secret of Kells,2016,Adventure,8000000,1822189,-0.77,7.5
Nomadland,2021,Road Trip,5000000,39458207,6.89,7.3
Bade Miyan Chote Miyan,2024,Action Epic,350000000,2635333,-0.99,3.8
Acharya,2022,Action,1400000000,8048175,-0.99,3.8
Nope,2022,Alien Invasion,68000000,171235592,1.52,6.8
Lost Illusions,2022,Drama,18700000,8635184,-0.54,7.4
Shortcut,2020,Adventure,1200000,600734,-0.5,4.1
The Beast,2024,Drama,7520000,754861,-0.9,6.5
Sorry Angel,2019,Comedy,3610000,1636273,-0.55,6.8
Tom of Finland,2017,Biography,5000000,1792414,-0.64,6.8
The Art of Racing in the Rain,2019,Comedy,18000000,33766787,0.88,7.6
Honest Thief,2020,Dark Comedy,30000000,31220247,0.04,6
Speak No Evil,2022,Psychological Drama,3200000,377060,-0.88,6.6
Zoolander 2,2016,Slapstick,50000000,56722693,0.13,4.7
Lowriders,2017,Adventure,5000000,6312033,0.26,5.7
Regression,2015,True Crime,20000000,17671101,-0.12,5.6
A Dog's Purpose,2017,Animal Adventure,22000000,205035819,8.32,7.3
Star Wars: Episode VII - The Force Awakens,2015,Action Epic,245000000,2071310218,7.45,7.8
Den of Thieves,2018,Cop Drama,30000000,80509622,1.68,7
Fantasy Island,2020,Supernatural Horror,7000000,49447308,6.06,4.9
Area 51,2015,Found Footage Horror,5000000,7556,-1,4.3
Childless,2015,Drama,1000000,1036,-1,4.2
Smurfs: The Lost Village,2017,Computer Animation,60000000,197183546,2.29,6
Insidious: The Last Key,2018,Supernatural Horror,10000000,167885588,15.79,5.7
Whiskey Tango Foxtrot,2016,Dark Comedy,35000000,24972139,-0.29,6.6
Overboard,2018,Romantic Comedy,12000000,91244913,6.6,6
Free Guy,2021,Artificial Intelligence,120000000,331526598,1.76,7.1
Monkey Man,2024,Action Epic,10000000,35271631,2.53,6.8
About Endlessness,2021,Comedy,4558000,434977,-0.9,6.8
Long Shot,2019,Romantic Comedy,40000000,53873809,0.35,6.8
Brothers,2015,Martial Arts,10205000,19695610,0.93,6.4
120 BPM,2017,Drama,5383899,7704369,0.43,7.4
Juvenile Delinquents,2020,Drama,1000000,39455,-0.96,6.3
Borders of Love,2022,Drama,850000,492300,-0.42,5.5
